ID,Days,Start,End,Approval,Max,Current,Seats,Wait,Instructor,Course,Section
83727,M,11:00 AM,11:50 AM,N,150,5,145,0,Eary,1105,1
83728,W,11:00 AM,11:50 AM,N,150,0,150,0,Eary,1105,2
,F,11:00 AM,11:50am,N,150,0,150,0,Eary,1105,3
81161,F,1:00 PM,1:50 PM,N,150,0,,,Eary,1105,4
85858,TR,12:30 PM,1:50 PM,N,40,0,40,0,Kashefi,1301,1
81162,R,2:00 PM,4:50 PM,N,20,0,20,,Kashefi,1301,2
,R,7:00 PM,9:50 PM,N,20,0,20,,Kashefi,1301,5
,TR,9:30 AM,10:50 AM,N,45,4,41,0,Stefan,1310,1
85694,TR,3:30 PM,4:50 PM,N,47,0,47,0,Qudah,1310,2
,TR,3:30 PM,4:50 PM,N,150,0,150,,Tiernan,1310,3
,MW,5:30 PM,6:50 PM,N,45,0,45,0,Moore,1310,4
,MW,7:00 PM,8:20 PM,N,45,0,45,,Moore,1310,5
,MW,1:00 PM,2:20 PM,N,45,0,45,0,Sharifara,1310,6
,MW,2:30 PM,3:50 PM,N,45,0,45,,Sharifara,1310,7
81164,mw,4:00 PM,5:20 PM,,45,,,,qUDAH,1310,8
88970,TR,3:30 PM,4:50 PM,N,50,0,50,0,Ahmad,1311,3
86257,MW,1:00 PM,2:20 PM,N,45,1,44,0,Datta,1320,1
,MW,2:30 PM,3:50 PM,N,40,0,40,0,Datta,1320,2
,mwf,9:00 AM,9:50 AM,,45,,,,D. FRENCH,1320,3
,TR,5:30 PM,6:50pm,N,40,0,40,,Laleh,1320,4
,MWF,10:00 AM,10:50 AM,,45,,,,D. FRENCH,1320,5
,MWF,11:00 AM,11:50 AM,,45,,,,D. FRENCH,1320,6
,TR,8:00 AM,9:20 AM,N,45,0,45,0,Rice,1325,1
,TR,9:30 AM,10:50 AM,N,45,0,45,0,Rice,1325,2
,mw,2:30 PM,3:50 PM,,45,,,,Qudah,1325,3
88675,mw,4:00 PM,5:20 PM,N,45,0,45,0,Gieser,1325,4
88676,M,9:00 AM,11:50 AM,N,25,0,25,0,Gieser,2100,1
88677,T,5:30 PM,7:30 PM,N,25,0,25,0,Gieser,2100,2
89363,W,5:30 PM,7:30 PM,N,25,25,0,0,Gieser,2100,3
,R,5:30 PM,7:30 PM,N,25,25,0,0,Gieser,2100,4
,M,9:00 AM,11:50am,N,20,0,20,,Gieser,2100,5
,W,9:00 AM,11:50am,N,20,0,20,,Gieser,2100,6
88136,R,9:00 AM,11:50 AM,N,20,0,20,0,Gieser,2100,7
83768,MW,1:00 PM,02;20 pm,N,45,0,45,0,Kashefi,2312,1
86387,MW,2:30 PM,03:50pm,N,45,0,45,0,Kashefi,2312,2
,MW,4:00 PM,5:20 PM,N,45,0,45,0,"Jiang, S.",2312,3
,TR,8:00 AM,9:20 AM,N,45,0,45,0,Gieser,2312,4
,MW,7:00 PM,8:20 PM,N,48,0,48,0,Park,2315,1
,TR,7:00 PM,8:20 PM,N,45,0,45,0,Park,2315,2
86135,TR,3:30 PM,4:50 PM,N,40,0,40,0,Vamsi,2315,3
84962,MW,1:00 PM,2:20 PM,N,60,0,60,,Stefan,2320,1
87147,MW,2:00 PM,03:50pm,N,60,0,60,,Stefan,2320,2
,TR,2:00 PM,3:20 PM,N,45,0,45,0,Weems,2320,3
,TR,11:00 AM,12:20 PM,N,45,0,45,,Weems,2320,4
,TR,12:30 PM,1:50 PM,N,30,0,30,,Cross,2440,1
,T,7:00 PM,9:50 PM,N,15,0,15,,Cross,2440,2
85245,R,7:00 PM,9:50 PM,N,15,0,15,,Cross,2440,3
85246,TR,11:00 AM,12:20 PM,N,30,0,30,0,Carroll,2441,1
85313,F,9:00 AM,11:50 AM,N,15,0,15,,Carroll,2441,2
81167,F,2:00 PM,4:50 PM,N,15,0,15,,Carroll,2441,3
88235,TR,2:00 PM,3:20 PM,N,40,0,40,0,Dalio,3302,1
,TR,3:30 PM,4:50 PM,N,40,0,40,0,Dalio,3302,2
85027,W,4:00 PM,6:50 PM,N,40,0,40,,French,3302,3
90155,TR,2:00 PM,3:20 PM,N,55,0,55,0,Khalili,3310,1
,MW,1:00 PM,2:20 PM,N,40,0,40,0,Csallner,3311,1
81168,MW,1:00 PM,2:20 PM,N,40,0,40,,Brezeale,3313,1
86943,TR,9:30 AM,10:50 AM,N,65,0,65,0,Barasch,3315,1
81170,TR,2:00 PM,3:20 PM,N,65,0,65,0,Barasch,3315,2
,MW,4:00 PM,5:20 PM,N,50,0,50,0,Levine,3320,1
,MW,7:00 PM,9:20 PM,N,45,0,50,0,Bakker,3320,2
85860,MW,5:30 PM,6:50 PM,N,40,0,50,,Bakker,3320,3
86093,M,4:00 PM,6:50 PM,N,32,0,32,,Zaruba,3323,1
,TBA,,,N,32,0,32,,Zaruba,3323,2
85197,TR,5:30 PM,6:50 PM,N,40,0,40,,Sharifara,3330,2
,TR,12:30 PM,01;50 pm,N,40,0,40,0,Brezeale,3380,1
88858,TR,2:00 PM,3:20 PM,N,40,0,40,,Brezeale,3380,2
88859,TR,12:30 PM,1:50 PM,N,30,0,30,,Burns,3442,1
88860,M,9:00 AM,11:50 AM,N,15,0,15,,Burns,3442,2
81171,W,9:00 AM,11:50 AM,N,15,0,15,,Burns,3442,3
,TBA,,,N,10,0,10,,Barasch,4191,1
,F,4:00 PM,6:50 PM,N,20,,,,dALIO,4303,1
,TR,5:30 PM,6:50 PM,N,20,,,,Dalio,4305,1
90152,MW,4:00 PM,5:20 PM,N,40,0,40,0,Vamsi,4308,1
,TR,11:00 AM,12:20 PM,N,40,0,40,,Athitsos,4309,1
,T,7:00 PM,9:50 PM,N,45,0,45,,Amaravadi,4314,1
81174,TR,9:30 AM,10:50 AM,N,45,0,45,,Cross,4314,2
81175,MWF,11:00 AM,11:50 AM,N,30,0,30,0,McMurrough,4316,1
88684,F,10:00 AM,10:50 AM,N,30,0,30,0,McMurrough,4316,2
88685,TR,10:00 AM,10:50 AM,N,30,0,30,0,Conly,4316,3
88686,F,10:00 AM,11:50 AM,N,30,0,30,0,Conly,4316,4
88687,TR,12:30 PM,1:20 PM,N,30,0,30,0,Conly,4316,5
,F,12:00 PM,1:50 PM,N,30,0,30,0,Conly,4316,6
,MWF,2:00 PM,2:50pm,N,30,0,30,,McMurrough,4316,7
81176,F,1:00 PM,1:50 PM,N,30,0,30,,McMurrough,4316,8
81177,TR,11:00 AM,11:50 AM,N,30,0,30,,Conly,4317,1
90153,F,11:00 AM,12:50 PM,N,30,0,30,,Conly,4317,2
90154,MWF,10:00 AM,10:50 AM,N,30,0,30,,McMurrough,4317,3
86826,F,11:00 AM,11:50 AM,N,30,0,30,,McMurrough,4317,4
,TR,12:30 PM,1:50 PM,N,40,0,40,,Robb,4321,1
81178,TR,3:30 PM,4:50 PM,N,45,0,45,,Cross,4322,1
,TR,2:00 PM,3:20 PM,N,30,0,30,,Carroll,4323,1
86977,TR,12:30 PM,1:50 PM,N,2,0,2,,Chakravarthy,4331,1
,TR,12:30 PM,1:50 PM,N,45,0,45,,Li,4334,1
,MW,1:00 PM,2:20 PM,N,40,0,40,,Eary,4340,1
89047,TR,2:00 PM,3:20 PM,N,45,0,45,,Datta,4344,2
88142,TR,11:00 AM,12:20 PM,N,45,0,45,0,Liu,4344,1
81179,MW,5:30 PM,06:50pm,N,35,0,35,,Huber,4360,1
86295,TR,2:00 PM,3:20 PM,N,45,0,45,0,Kung,4361,1
,MW,4:00 PM,5:20 PM,N,15,0,15,,Huber,4378,1
,TR,5:30 PM,6:50 PM,N,45,0,45,,Lloyd,4380,1
,M,5:00 PM,8:20 PM,N,18,0,18,,Lloyd,4380,2
,W,7:00 PM,9:50 PM,N,18,0,18,,Lloyd,4380,3
81180,F,4:00 PM,6:50 PM,n,10,0,10,,Lloyd,4380,4
,TBA,,,N,20,0,20,,Barasch,4391,1
87420,F,2:00 PM,4:50 PM,N,5,0,5,,Jones,4392,1
81181,MW,7:00 PM,8:20 PM,N,10,0,10,0,Levine,4392,4
81182,TBA,,,Y,50,0,50,,Elmasri,5191,1
,TR,2:00 PM,3:20 PM,Y,50,0,50,0,Gao,5301,1
89049,TR,5:30 PM,6:50 PM,Y,50,0,50,,Vamsi,5301,2
86481,TR,3:30 PM,4:50 PM,Y,40,0,40,0,Rao,5306,2
86902,MWF,10:00 AM,10:50 AM,Y,40,0,40,,Eary,5306,3
,MWF,9:00 AM,9:50 AM,Y,40,0,40,,Eary,5306,4
,TR,5:30 PM,6:50 PM,Y,45,0,45,0,Ghidini,5311,1
,TR,7:00 PM,8:20 PM,Y,45,0,45,-5,Ghidini,5311,2
,MW,1:00 PM,2:20 PM,Y,40,0,40,0,S. Jiang,5311,3
,TR,7:00 PM,8:20 PM,Y,40,0,40,0,Gonzalez,5311,4
86825,TR,5:30 AM,6:50pm,,20,,,,Dalio,5317,1
81183,TR,5:30 PM,6:50 PM,N,45,0,45,0,Robb,5321,1
,TR,3:30 PM,4:50 PM,N,40,0,40,0,Kung,5322,1
86386,TR,5:30 PM,06:50PM,N,45,0,45,,ROBB,5324,2
,TR,11:00 AM,12:20 PM,N,35,0,35,0,Khalili,5325,3
87576,S,1:00 PM,3:50 PM,N,45,0,45,0,Dash,5330,2
85714,TR,9:30 AM,10:50 AM,Y,49,0,49,0,Sharma,5330,5
88938,TR,12:30 PM,1:50 PM,Y,38,0,38,0,Sharma,5331,1
88619,T,7:00 PM,9:50 PM,N,40,0,40,0,Ding,5334,2
89240,TR,2:00 PM,3:20 PM,N,40,0,40,3,Fegaras ,5335,1
89241,MW,1:00 PM,2:20 PM,N,45,0,45,0,Diaz,5335,2
,MW,2:30 PM,3:50 PM,N,45,0,45,0,Diaz,5335,3
,MW,5:30 PM,6:50 PM,,40,0,40,,Kashefi,5344,1
,F,1:00 PM,03;50 pm,N,40,0,40,,Che,5344,3
,R,7:00 PM,9:50 PM,N,40,0,40,0,Mufti,5345,2
81187,TR,12:30 PM,1:50 PM,,20,0,20,,Liu,5349,1
,MW,5:30 PM,6:50 PM,N,45,0,45,5,Levine,5350,1
,MW,2:30 PM,3:50 PM,N,40,0,40,2,Vamsi,5360,1
,MW,5:30 PM,6:50 PM,N,15,0,15,,huber,5364,1
88140,f,4:00 PM,6:50 PM,,20,,,9,dALIO,5365,1
81188,TR,7:00 PM,8:20 PM,Y,40,0,40,,Kamangar,5368,1
83139,F,1:00 PM,3:50 PM,Y,40,0,40,,Ming,5380,1
,TBA,,,Y,40,0,40,,Ming,5380,2
87419,F,2:00 PM,4:50 PM,Y,45,0,45,0,Jones,5382,1
86296,MW,7:00 PM,8:20 PM,N,45,0,45,5,Levine,5382,2
84517,MW,4:00 PM,5:20 PM,N,5,0,5,,Huber,5383,1
,MW,4:00 PM,5:20 PM,N,35,0,35,,Csallner,6324,1
,TR,3:30 PM,4:50 PM,,40,,,,Robb,6329,1
88141,F,1:00 PM,3:50 PM,n,40,0,40,0,Frailey ,6329,2
,TR,5:30 PM,6:50 PM,N,40,0,40,10,Fegaras ,6331,1
81247,TR,12:30 PM,1:50 PM,N,20,0,20,,Liu,6349,1
87196,MW,2:30 PM,3:50 PM,N,40,0,40,0,Zhu,6363,1
,M,7:00 PM,9:50 PM,N,40,0,40,,Ding,6363,2
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,,,,,,,,,,,
,, ,,,,,,,,,
